timestamp,ticker,team,line,yes_best_bid,yes_imp_ask,no_best_bid,no_imp_ask,spread_cents,midpoint,yes_bid_qty,yes_ask_qty,no_bid_qty,no_ask_qty,fetch_success,error_msg
2026-02-07T01:33:22.782142+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI9,UNI,9.0,23,28,72,77,5,25.5,96,400,400,96,True,
2026-02-07T01:34:39.743509+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,2,53,47,98,51,27.5,108,30,30,108,True,
2026-02-07T01:34:40.246982+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,10,28,72,90,18,19.0,18000,11,11,18000,True,
2026-02-07T01:34:40.968440+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,13,19,81,87,6,16.0,108,44,44,108,True,
2026-02-07T01:34:41.434019+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,3,26,74,97,23,14.5,50,1191,1191,50,True,
2026-02-07T01:34:41.889440+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,16,24,76,84,8,20.0,108,11,11,108,True,
2026-02-07T01:34:42.335396+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI15,UNI,15.0,8,19,81,92,11,13.5,108,1191,1191,108,True,
2026-02-07T01:34:42.805802+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI18,UNI,18.0,3,53,47,97,50,28.0,50,50,50,50,True,
2026-02-07T01:34:43.501430+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI3,UNI,3.0,52,57,43,48,5,54.5,25,11,11,25,True,
2026-02-07T01:34:44.413076+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI6,UNI,6.0,38,47,53,62,9,42.5,24,11,11,24,True,
2026-02-07T01:34:45.173735+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI9,UNI,9.0,26,35,65,74,9,30.5,11,8,8,11,True,
2026-02-07T01:36:02.819682+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,1,53,47,99,52,27.0,200,30,30,200,True,
2026-02-07T01:36:03.445429+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,11,28,72,89,17,19.5,800,11,11,800,True,
2026-02-07T01:36:04.027265+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,13,18,82,87,5,15.5,108,16,16,108,True,
2026-02-07T01:36:04.454771+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,3,79,21,97,76,41.0,50,83,83,50,True,
2026-02-07T01:36:05.054089+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,11,23,77,89,12,17.0,1288,15,15,1288,True,
2026-02-07T01:36:05.974763+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI15,UNI,15.0,6,18,82,94,12,12.0,1288,1288,1288,1288,True,
2026-02-07T01:36:06.725013+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI18,UNI,18.0,3,53,47,97,50,28.0,50,50,50,50,True,
2026-02-07T01:36:09.235741+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI3,UNI,3.0,53,58,42,47,5,55.5,14,14,14,14,True,
2026-02-07T01:36:09.689229+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI6,UNI,6.0,38,45,55,62,7,41.5,16,140,140,16,True,
2026-02-07T01:36:10.128608+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI9,UNI,9.0,24,41,59,76,17,32.5,16,2,2,16,True,
