timestamp,ticker,team,line,yes_best_bid,yes_imp_ask,no_best_bid,no_imp_ask,spread_cents,midpoint,yes_bid_qty,yes_ask_qty,no_bid_qty,no_ask_qty,fetch_success,error_msg
2026-02-07T01:31:06.888271+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:31:07.565954+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,42,46,54,58,4,44.0,917,10808,10808,917,True,
2026-02-07T01:31:07.993219+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,32,37,63,68,5,34.5,232,139,139,232,True,
2026-02-07T01:31:08.721533+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,24,29,71,76,5,26.5,247,388,388,247,True,
2026-02-07T01:31:09.334958+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:31:09.794991+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1682,1300,1300,1682,True,
2026-02-07T01:31:10.220797+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,29,71,77,6,26.0,331,1300,1300,331,True,
2026-02-07T01:31:11.914451+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,16,21,79,84,5,18.5,343,800,800,343,True,
2026-02-07T01:32:33.014144+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,182,1300,1300,182,True,
2026-02-07T01:32:35.080164+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:32:35.553251+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:32:36.034165+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,42,46,54,58,4,44.0,917,11408,11408,917,True,
2026-02-07T01:32:36.564487+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,32,37,63,68,5,34.5,232,139,139,232,True,
2026-02-07T01:32:37.036283+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,24,29,71,76,5,26.5,247,388,388,247,True,
2026-02-07T01:32:37.470170+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:32:38.035814+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1682,1300,1300,1682,True,
2026-02-07T01:32:38.663849+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,29,71,77,6,26.0,331,1300,1300,331,True,
2026-02-07T01:32:39.126998+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,16,21,79,84,5,18.5,343,800,800,343,True,
2026-02-07T01:34:23.326523+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,185,1300,1300,185,True,
2026-02-07T01:34:23.904988+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:34:24.470257+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:34:24.998812+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,42,46,54,58,4,44.0,917,10078,10078,917,True,
2026-02-07T01:34:25.566119+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,32,37,63,68,5,34.5,274,139,139,274,True,
2026-02-07T01:34:26.181445+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,24,29,71,76,5,26.5,250,370,370,250,True,
2026-02-07T01:34:27.007884+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:34:27.616632+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1686,1300,1300,1686,True,
2026-02-07T01:34:28.268196+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,28,72,77,5,25.5,335,200,200,335,True,
