t_utc,ticker,yes_bid_c,yes_ask_c,no_bid_c,no_ask_c,open_side,open_price_c,open_qty,pairs_count,locked_pnl_c,realized_pnl_c,mtm_pnl_c,total_pnl_c,stopped_out_yes,stopped_out_no,secs_to_close
2026-02-04T04:44:23.216615+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,33,34,66,67,yes,41,1,0,0,0,-8,-8,0,0,1206937
2026-02-04T04:44:29.588706+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,32,34,66,68,yes,41,1,0,0,0,-9,-9,0,0,1206930
2026-02-04T04:44:35.794776+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,32,33,67,68,yes,41,1,0,0,0,-9,-9,0,0,1206924
2026-02-04T04:44:42.058786+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,32,33,67,68,yes,41,1,0,0,0,-9,-9,0,0,1206918
2026-02-04T04:44:48.307083+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,32,33,67,68,yes,41,1,0,0,0,-9,-9,0,0,1206911
2026-02-04T04:44:54.587696+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,32,33,67,68,yes,41,1,0,0,0,-9,-9,0,0,1206905
2026-02-04T04:45:00.808109+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,31,32,68,69,yes,41,1,0,0,0,-10,-10,0,0,1206899
2026-02-04T04:45:07.074755+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,35,36,64,65,yes,41,1,0,0,0,-6,-6,0,0,1206893
2026-02-04T04:45:13.305272+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,32,37,63,68,yes,41,1,0,0,0,-9,-9,0,0,1206886
2026-02-04T04:45:19.536012+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,35,36,64,65,yes,41,1,0,0,0,-6,-6,0,0,1206880
2026-02-04T04:45:25.901614+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,34,35,65,66,yes,41,1,0,0,0,-7,-7,0,0,1206874
2026-02-04T04:45:32.156046+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,34,35,65,66,yes,41,1,0,0,0,-7,-7,0,0,1206868
2026-02-04T04:45:38.356906+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,33,34,66,67,yes,41,1,0,0,0,-8,-8,0,0,1206861
2026-02-04T04:45:44.578181+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,33,34,66,67,yes,41,1,0,0,0,-8,-8,0,0,1206855
2026-02-04T04:45:50.829460+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,33,34,66,67,yes,41,1,0,0,0,-8,-8,0,0,1206849
2026-02-04T04:45:57.062287+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,33,34,66,67,yes,41,1,0,0,0,-8,-8,0,0,1206843
2026-02-04T04:46:03.264529+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,33,34,66,67,yes,41,1,0,0,0,-8,-8,0,0,1206836
2026-02-04T04:46:09.459154+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,36,37,63,64,yes,41,1,0,0,0,-5,-5,0,0,1206830
2026-02-04T04:46:15.646426+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,36,37,63,64,yes,41,1,0,0,0,-5,-5,0,0,1206824
2026-02-04T04:46:21.910118+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,37,38,62,63,yes,41,1,0,0,0,-4,-4,0,0,1206818
2026-02-04T04:46:28.246979+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,39,41,59,61,yes,41,1,0,0,0,-2,-2,0,0,1206812
2026-02-04T04:46:34.441975+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,39,41,59,61,yes,41,1,0,0,0,-2,-2,0,0,1206805
2026-02-04T04:46:40.692024+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,39,40,60,61,yes,41,1,0,0,0,-2,-2,0,0,1206799
2026-02-04T04:46:46.916581+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,39,40,60,61,yes,41,1,0,0,0,-2,-2,0,0,1206793
2026-02-04T04:46:53.134554+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,39,41,59,61,yes,41,1,0,0,0,-2,-2,0,0,1206787
2026-02-04T04:46:59.378435+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,39,41,59,61,yes,41,1,0,0,0,-2,-2,0,0,1206780
