t_utc,ticker,yes_bid_c,yes_ask_c,no_bid_c,no_ask_c,open_side,open_price_c,open_qty,pairs_count,locked_pnl_c,realized_pnl_c,mtm_pnl_c,total_pnl_c,stopped_out_yes,stopped_out_no,secs_to_close
2026-02-04T04:57:37.801469+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206142
2026-02-04T04:57:43.027769+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206137
2026-02-04T04:57:48.402291+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206131
2026-02-04T04:57:53.688342+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206126
2026-02-04T04:57:58.929356+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206121
2026-02-04T04:58:04.200821+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,52,48,49,,,0,0,0,0,0,0,0,0,1206116
2026-02-04T04:58:09.494277+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206110
2026-02-04T04:58:14.725974+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206105
2026-02-04T04:58:19.969085+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206100
2026-02-04T04:58:25.245335+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206095
2026-02-04T04:58:30.478020+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,53,47,50,,,0,0,0,0,0,0,0,0,1206089
2026-02-04T04:58:35.829582+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,52,53,47,48,,,0,0,0,0,0,0,0,0,1206084
2026-02-04T04:58:41.037364+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,53,47,49,,,0,0,0,0,0,0,0,0,1206079
2026-02-04T04:58:46.239433+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,52,48,49,,,0,0,0,0,0,0,0,0,1206073
2026-02-04T04:58:51.445995+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,52,48,49,,,0,0,0,0,0,0,0,0,1206068
2026-02-04T04:58:56.687510+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,52,48,49,,,0,0,0,0,0,0,0,0,1206063
2026-02-04T04:59:01.929261+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,53,47,49,,,0,0,0,0,0,0,0,0,1206058
2026-02-04T04:59:07.231798+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,52,48,49,,,0,0,0,0,0,0,0,0,1206053
